TSV,Clo,Met,Ta,Tr,RH,Vel
0,0.68,1,25.9,25.9,38,0.01
0,0.62,1,25.9,25.9,38,0.01
0,0.68,1,25.9,25.9,38,0.01
-1,0.68,1,26.9,26.9,52,0.01
2,0.62,1,26.9,26.9,52,0.01
-1,0.68,1,28.1,28.1,33,0.05
0,0.68,1,28.1,28.1,33,0.05
2,0.68,1,28.1,28.1,33,0.05
-1,0.62,1,32.6,32.6,35,0.33
3,0.72,1,32.6,32.6,35,0.33
3,0.72,1,32.6,32.6,35,0.33
0,0.63,1.2,32.6,32.6,35,0.33
2,0.62,1,30.8,30.8,20,0.13
2,0.62,1,30.8,30.8,20,0.13
1,0.62,1.2,30.8,30.8,20,0.13
2,0.62,1,30.8,30.8,20,0.13
3,0.62,1,32.7,32.7,19,0.35
1,0.62,1,32.7,32.7,19,0.35
0,0.68,1,32.7,32.7,19,0.35
2,0.62,1,32.7,32.7,19,0.35
3,0.68,1,32.7,32.7,19,0.35
3,0.68,1,34.3,34.3,19,0.21
3,0.68,1,34.3,34.3,19,0.21
3,0.63,1,34.3,34.3,19,0.21
3,0.72,1,32.1,32.1,37,0.15
-1,0.68,1,32.1,32.1,37,0.15
3,0.72,1,32.1,32.1,37,0.15
0,0.68,1,34.3,34.3,32,0.17
1,0.68,1,34.3,34.3,32,0.17
2,0.68,1,34.3,34.3,32,0.17
1,0.62,1,29.7,29.7,58,0.14
1,0.68,1,29.7,29.7,58,0.14
0,0.62,1,29.7,29.7,58,0.14
-1,0.68,1,29.7,29.7,58,0.14
-2,0.68,1,30,30,56,0.06
0,0.72,1,30,30,56,0.06
1,0.63,1,30,30,56,0.06
0,0.68,1,28.3,28.3,65,0.05
-1,0.68,1,28.3,28.3,65,0.05
0,0.68,1,28.3,28.3,65,0.05
0,0.63,1,29,29,66,0.01
-1,0.63,1,29,29,66,0.01
-2,0.68,1,29,29,66,0.01
2,0.68,1,31.3,31.3,53,0.03
1,0.68,1,31.3,31.3,53,0.03
0,0.68,1,30.3,30.3,61,0.04
0,0.72,1,30.1,30.1,63,0.06
0,0.72,1,30.1,30.1,63,0.06
0,0.62,1,30.3,30.3,33,0.04
0,0.68,1,30.3,30.3,33,0.04
2,0.68,1,30.3,30.3,33,0.04
3,0.62,1,30.3,30.3,33,0.04
0,0.68,1,28.3,28.3,65,0.05
-1,0.63,1,28.9,28.9,41,0.02
-2,0.68,1,29,29,41,0.02
0,0.7,1,29,29,44,0.01
2,0.7,1,29,29,44,0.01
-1,0.73,1,29.3,29.3,52,0.01
1,0.69,1,29.3,29.3,52,0.01
0,0.64,1,26.8,26.8,31,0.17
0,0.92,1,26.8,26.8,31,0.17
-1,0.64,1.2,26.8,26.8,31,0.17
-1,0.64,1,27.3,27.3,29,0.15
-1,0.66,1,26.8,26.8,31,0.17
1,0.64,1,26.8,26.8,31,0.17
0,0.64,1,26.8,26.8,31,0.17
-1,0.68,1,26.3,26.3,38,0.01
0,0.62,1,26.3,26.3,38,0.01
0,0.64,1,28.8,28.8,18,0.02
-1,0.7,1,28.8,28.8,18,0.02
-1,0.73,1,27.4,27.4,32,0.01
1,0.72,1,27.3,27.3,37,0.05
0,0.7,1,27.3,27.3,37,0.05
-1,0.7,1,27.3,27.3,37,0.05
-1,0.7,1,27.3,27.3,37,0.05
0,0.68,1,27.2,27.2,46,0.01
0,0.82,1,27.2,27.2,46,0.01
1,0.82,1,27.2,27.2,46,0.01
0,0.64,1,27.6,27.6,38,0.01
-1,0.7,1,27.6,27.6,38,0.01
0,0.72,1,27.6,27.6,38,0.01
0,0.7,1,27.6,27.6,38,0.01
3,0.4,1,34.8,34.8,10.4,0.38
0,0.28,1,32.4,32.4,12.8,0
-1,0.66,1,34.3,34.3,12,0.4
1,0.28,1,34.8,34.8,14.1,0.38
1,0.28,1,34.4,34.4,16.5,0
-1,0.55,1.2,33,33,38.5,0.08
2,0.57,1.2,33.1,33.1,38.7,0
0,0.38,1.2,33,33,38.3,0.15
3,0.58,1.2,32.9,32.9,40.4,0.38
-1,0.59,1.2,32.9,32.9,40.3,0
1,0.51,1.2,33.1,33.1,39.2,0.48
-2,0.55,1.2,33.7,33.7,31.4,0.31
0,0.57,1.2,33.5,33.5,37.3,0.51
-2,0.57,1.2,33.4,33.4,37.5,0.35
-1,0.4,1,29.2,29.2,83.5,0
0,0.19,1,28.7,28.7,78.6,0.28
0,0.38,1.2,28.5,28.5,86.4,0
-1,0.2,1,27.8,27.8,88.4,0.03
-1,0.28,1,28.1,28.1,87.4,0
-1,0.27,1,28,28,87.6,0
-1,0.28,1,28.4,28.4,82.7,0.03
1,0.28,1,28.4,28.4,83.4,0.45
0,0.36,1,28.4,28.4,83.4,0.4
0,0.36,1,28.4,28.4,83.1,0.43
0,0.37,1,28.8,28.8,77.8,0
-1,0.37,1,29.3,29.3,76.9,0
0,0.53,1,28.8,28.8,77.6,0
-1,0.57,1,29,29,77.6,0
0,0.4,1,29.2,29.2,76.5,0.35
-1,0.53,1,29.2,29.2,75.9,0
