,Climate,Operation,TSV,Clo,Met,Ta,Tr,RH,Vel,PMV,PPD
5140,BSh,Naturally Ventilated,0.0,0.68,1.0,25.9,25.9,38.0,0.01,0.24,6.15
5141,BSh,Naturally Ventilated,0.0,0.62,1.0,25.9,25.9,38.0,0.01,0.13,5.35
5142,BSh,Naturally Ventilated,0.0,0.68,1.0,25.9,25.9,38.0,0.01,0.24,6.15
5226,BSh,Naturally Ventilated,-1.0,0.68,1.0,26.9,26.9,52.0,0.01,0.7,15.25
5227,BSh,Naturally Ventilated,2.0,0.62,1.0,26.9,26.9,52.0,0.01,0.61,12.72
5229,BSh,Naturally Ventilated,-1.0,0.68,1.0,28.1,28.1,33.0,0.05,0.92,22.69
5230,BSh,Naturally Ventilated,0.0,0.68,1.0,28.1,28.1,33.0,0.05,0.92,22.69
5231,BSh,Naturally Ventilated,2.0,0.68,1.0,28.1,28.1,33.0,0.05,0.92,22.69
5521,BSh,Naturally Ventilated,-1.0,0.62,1.0,32.6,32.6,35.0,0.33,2.26,86.89
5522,BSh,Naturally Ventilated,3.0,0.72,1.0,32.6,32.6,35.0,0.33,2.3,88.25
5523,BSh,Naturally Ventilated,3.0,0.72,1.0,32.6,32.6,35.0,0.33,2.3,88.25
5524,BSh,Naturally Ventilated,0.0,0.63,1.2,32.6,32.6,35.0,0.33,2.24,86.32
5525,BSh,Naturally Ventilated,2.0,0.62,1.0,30.8,30.8,20.0,0.13,1.5,50.75
5526,BSh,Naturally Ventilated,2.0,0.62,1.0,30.8,30.8,20.0,0.13,1.5,50.75
5527,BSh,Naturally Ventilated,1.0,0.62,1.2,30.8,30.8,20.0,0.13,1.6,56.58
5528,BSh,Naturally Ventilated,2.0,0.62,1.0,30.8,30.8,20.0,0.13,1.5,50.75
5529,BSh,Naturally Ventilated,3.0,0.62,1.0,32.7,32.7,19.0,0.35,2.08,80.43
5530,BSh,Naturally Ventilated,1.0,0.62,1.0,32.7,32.7,19.0,0.35,2.08,80.43
5531,BSh,Naturally Ventilated,0.0,0.68,1.0,32.7,32.7,19.0,0.35,2.11,81.46
5532,BSh,Naturally Ventilated,2.0,0.62,1.0,32.7,32.7,19.0,0.35,2.08,80.43
5533,BSh,Naturally Ventilated,3.0,0.68,1.0,32.7,32.7,19.0,0.35,2.11,81.46
5615,BSh,Naturally Ventilated,3.0,0.68,1.0,34.3,34.3,19.0,0.21,2.71,96.86
5616,BSh,Naturally Ventilated,3.0,0.68,1.0,34.3,34.3,19.0,0.21,2.71,96.86
5617,BSh,Naturally Ventilated,3.0,0.63,1.0,34.3,34.3,19.0,0.21,2.71,96.9
5618,BSh,Naturally Ventilated,3.0,0.72,1.0,32.1,32.1,37.0,0.15,2.2,84.94
5619,BSh,Naturally Ventilated,-1.0,0.68,1.0,32.1,32.1,37.0,0.15,2.18,84.23
5620,BSh,Naturally Ventilated,3.0,0.72,1.0,32.1,32.1,37.0,0.15,2.2,84.94
6291,BSh,Naturally Ventilated,0.0,0.68,1.0,34.3,34.3,32.0,0.17,2.89,98.54
6292,BSh,Naturally Ventilated,1.0,0.68,1.0,34.3,34.3,32.0,0.17,2.89,98.54
6293,BSh,Naturally Ventilated,2.0,0.68,1.0,34.3,34.3,32.0,0.17,2.89,98.54
6307,BSh,Naturally Ventilated,1.0,0.62,1.0,29.7,29.7,58.0,0.14,1.52,52.06
6308,BSh,Naturally Ventilated,1.0,0.68,1.0,29.7,29.7,58.0,0.14,1.58,55.44
6309,BSh,Naturally Ventilated,0.0,0.62,1.0,29.7,29.7,58.0,0.14,1.52,52.06
6310,BSh,Naturally Ventilated,-1.0,0.68,1.0,29.7,29.7,58.0,0.14,1.58,55.44
6311,BSh,Naturally Ventilated,-2.0,0.68,1.0,30.0,30.0,56.0,0.06,1.79,66.47
6312,BSh,Naturally Ventilated,0.0,0.72,1.0,30.0,30.0,56.0,0.06,1.82,67.98
6313,BSh,Naturally Ventilated,1.0,0.63,1.0,30.0,30.0,56.0,0.06,1.75,64.45
6564,BSh,Naturally Ventilated,0.0,0.68,1.0,28.3,28.3,65.0,0.05,1.31,40.56
6565,BSh,Naturally Ventilated,-1.0,0.68,1.0,28.3,28.3,65.0,0.05,1.31,40.56
6566,BSh,Naturally Ventilated,0.0,0.68,1.0,28.3,28.3,65.0,0.05,1.31,40.56
6567,BSh,Naturally Ventilated,0.0,0.63,1.0,29.0,29.0,66.0,0.01,1.51,51.32
6568,BSh,Naturally Ventilated,-1.0,0.63,1.0,29.0,29.0,66.0,0.01,1.51,51.32
6569,BSh,Naturally Ventilated,-2.0,0.68,1.0,29.0,29.0,66.0,0.01,1.56,54.13
6747,BSh,Naturally Ventilated,2.0,0.68,1.0,31.3,31.3,53.0,0.03,2.2,84.93
6748,BSh,Naturally Ventilated,1.0,0.68,1.0,31.3,31.3,53.0,0.03,2.2,84.93
6771,BSh,Naturally Ventilated,0.0,0.68,1.0,30.3,30.3,61.0,0.04,1.95,74.64
6773,BSh,Naturally Ventilated,0.0,0.72,1.0,30.1,30.1,63.0,0.06,1.93,73.48
6774,BSh,Naturally Ventilated,0.0,0.72,1.0,30.1,30.1,63.0,0.06,1.93,73.48
6914,BSh,Naturally Ventilated,0.0,0.62,1.0,30.3,30.3,33.0,0.04,1.59,55.8
6915,BSh,Naturally Ventilated,0.0,0.68,1.0,30.3,30.3,33.0,0.04,1.64,58.25
6916,BSh,Naturally Ventilated,2.0,0.68,1.0,30.3,30.3,33.0,0.04,1.64,58.25
6917,BSh,Naturally Ventilated,3.0,0.62,1.0,30.3,30.3,33.0,0.04,1.59,55.8
6924,BSh,Naturally Ventilated,0.0,0.68,1.0,28.3,28.3,65.0,0.05,1.31,40.56
6925,BSh,Naturally Ventilated,-1.0,0.63,1.0,28.9,28.9,41.0,0.02,1.21,35.69
6926,BSh,Naturally Ventilated,-2.0,0.68,1.0,29.0,29.0,41.0,0.02,1.3,40.01
7054,BSh,Naturally Ventilated,0.0,0.7,1.0,29.0,29.0,44.0,0.01,1.35,42.68
7055,BSh,Naturally Ventilated,2.0,0.7,1.0,29.0,29.0,44.0,0.01,1.35,42.68
7056,BSh,Naturally Ventilated,-1.0,0.73,1.0,29.3,29.3,52.0,0.01,1.56,54.06
7057,BSh,Naturally Ventilated,1.0,0.69,1.0,29.3,29.3,52.0,0.01,1.52,52.11
7453,BSh,Naturally Ventilated,0.0,0.64,1.0,26.8,26.8,31.0,0.17,0.18,5.66
7454,BSh,Naturally Ventilated,0.0,0.92,1.0,26.8,26.8,31.0,0.17,0.6,12.61
7455,BSh,Naturally Ventilated,-1.0,0.64,1.2,26.8,26.8,31.0,0.17,0.54,11.18
7456,BSh,Naturally Ventilated,-1.0,0.64,1.0,27.3,27.3,29.0,0.15,0.37,7.88
7457,BSh,Naturally Ventilated,-1.0,0.66,1.0,26.8,26.8,31.0,0.17,0.21,5.95
7458,BSh,Naturally Ventilated,1.0,0.64,1.0,26.8,26.8,31.0,0.17,0.18,5.66
7459,BSh,Naturally Ventilated,0.0,0.64,1.0,26.8,26.8,31.0,0.17,0.18,5.66
7528,BSh,Naturally Ventilated,-1.0,0.68,1.0,26.3,26.3,38.0,0.01,0.37,7.82
7531,BSh,Naturally Ventilated,0.0,0.62,1.0,26.3,26.3,38.0,0.01,0.27,6.49
7589,BSh,Naturally Ventilated,0.0,0.64,1.0,28.8,28.8,18.0,0.02,0.95,23.88
7590,BSh,Naturally Ventilated,-1.0,0.7,1.0,28.8,28.8,18.0,0.02,1.01,26.49
7591,BSh,Naturally Ventilated,-1.0,0.73,1.0,27.4,27.4,32.0,0.01,0.74,16.55
7941,BSh,Naturally Ventilated,1.0,0.72,1.0,27.3,27.3,37.0,0.05,0.74,16.65
7942,BSh,Naturally Ventilated,0.0,0.7,1.0,27.3,27.3,37.0,0.05,0.72,15.83
7943,BSh,Naturally Ventilated,-1.0,0.7,1.0,27.3,27.3,37.0,0.05,0.72,15.83
7944,BSh,Naturally Ventilated,-1.0,0.7,1.0,27.3,27.3,37.0,0.05,0.72,15.83
7953,BSh,Naturally Ventilated,0.0,0.68,1.0,27.2,27.2,46.0,0.01,0.74,16.63
7954,BSh,Naturally Ventilated,0.0,0.82,1.0,27.2,27.2,46.0,0.01,0.92,22.97
7955,BSh,Naturally Ventilated,1.0,0.82,1.0,27.2,27.2,46.0,0.01,0.92,22.97
7956,BSh,Naturally Ventilated,0.0,0.64,1.0,27.6,27.6,38.0,0.01,0.75,16.72
7957,BSh,Naturally Ventilated,-1.0,0.7,1.0,27.6,27.6,38.0,0.01,0.83,19.37
7958,BSh,Naturally Ventilated,0.0,0.72,1.0,27.6,27.6,38.0,0.01,0.85,20.26
7959,BSh,Naturally Ventilated,0.0,0.7,1.0,27.6,27.6,38.0,0.01,0.83,19.37
8281,Csa,Naturally Ventilated,0.0,1.18,1.0,20.2,20.2,66.3,0.04,-0.38,8.04
8282,Csa,Naturally Ventilated,0.0,1.08,1.2,20.2,20.2,66.3,0.04,-0.07,5.1
8288,Csa,Naturally Ventilated,0.0,1.08,1.2,21.5,21.5,66.9,0.05,0.22,6.01
8289,Csa,Naturally Ventilated,0.0,0.9,1.0,22.8,22.8,66.0,0.06,-0.13,5.37
8293,Csa,Naturally Ventilated,1.0,1.15,1.2,22.8,22.8,66.0,0.05,0.58,12.02
8294,Csa,Naturally Ventilated,1.0,1.15,1.0,22.7,22.7,66.8,0.06,0.23,6.09
8300,Csa,Naturally Ventilated,0.0,1.18,1.3,21.0,21.0,73.4,0.03,0.42,8.65
8309,Csa,Naturally Ventilated,1.0,1.15,1.2,22.5,22.5,68.6,0.01,0.53,10.88
8317,Csa,Naturally Ventilated,0.0,1.18,1.2,20.4,20.4,71.0,0.02,0.13,5.36
8328,Csa,Naturally Ventilated,0.0,1.15,1.2,19.7,19.7,62.1,0.02,-0.1,5.21
8332,Csa,Naturally Ventilated,0.0,1.15,1.2,19.7,19.7,62.1,0.05,-0.1,5.21
8338,Csa,Naturally Ventilated,0.0,1.18,1.0,18.8,18.8,68.8,0.02,-0.73,16.13
8339,Csa,Naturally Ventilated,0.0,1.18,1.0,19.6,19.6,59.9,0.01,-0.57,11.93
8350,Csa,Naturally Ventilated,0.0,1.08,1.0,21.8,21.8,51.0,0.01,-0.22,6.03
8352,Csa,Naturally Ventilated,0.0,1.18,1.2,21.8,21.8,51.0,0.01,0.31,7.04
8356,Csa,Naturally Ventilated,0.0,1.08,1.2,21.8,21.8,51.0,0.05,0.19,5.79
8358,Csa,Naturally Ventilated,0.0,1.15,1.2,20.9,20.9,42.5,0.02,0.04,5.04
8363,Csa,Naturally Ventilated,0.0,0.9,1.0,21.9,21.9,44.4,0.09,-0.55,11.42
8371,Csa,Naturally Ventilated,0.0,0.9,1.2,20.0,20.0,60.7,0.01,-0.43,8.79
8394,Csa,Naturally Ventilated,1.0,1.18,1.0,20.7,20.7,65.8,0.02,-0.26,6.37
8395,Csa,Naturally Ventilated,0.0,1.18,1.2,20.7,20.7,65.8,0.02,0.17,5.57
8398,Csa,Naturally Ventilated,1.0,1.15,1.2,21.0,21.0,67.2,0.05,0.2,5.84
8399,Csa,Naturally Ventilated,0.0,0.9,1.2,21.0,21.0,67.2,0.05,-0.15,5.47
8402,Csa,Naturally Ventilated,0.0,1.18,1.2,20.3,20.3,68.2,0.02,0.1,5.19
8409,Csa,Naturally Ventilated,0.0,1.18,1.2,21.0,21.0,68.0,0.02,0.24,6.21
8422,Csa,Naturally Ventilated,0.0,1.18,1.2,21.1,21.1,66.3,0.02,0.25,6.33
8423,Csa,Naturally Ventilated,1.0,1.15,1.2,21.1,21.1,66.3,0.03,0.22,5.98
8431,Csa,Naturally Ventilated,1.0,1.08,1.0,21.2,21.2,61.9,0.07,-0.31,7.0
8432,Csa,Naturally Ventilated,0.0,1.18,1.2,20.9,20.9,64.7,0.01,0.2,5.85
8433,Csa,Naturally Ventilated,0.0,1.15,1.2,20.9,20.9,64.7,0.01,0.17,5.57
8434,Csa,Naturally Ventilated,0.0,1.08,1.2,20.9,20.9,64.7,0.02,0.08,5.12
8437,Csa,Naturally Ventilated,0.0,0.9,1.2,23.0,23.0,65.0,0.04,0.32,7.16
8446,Csa,Naturally Ventilated,0.0,1.11,1.0,22.1,22.1,45.0,0.1,-0.18,5.69
8448,Csa,Naturally Ventilated,0.0,1.15,1.0,20.2,20.2,58.1,0.03,-0.48,9.86
8474,Csa,Naturally Ventilated,0.0,1.18,1.0,20.6,20.6,55.4,0.04,-0.35,7.53
8483,Csa,Naturally Ventilated,0.0,0.9,1.2,19.6,19.6,59.7,0.04,-0.53,10.81
8491,Csa,Naturally Ventilated,0.0,1.08,1.2,21.6,21.6,62.0,0.03,0.22,5.96
8494,Csa,Naturally Ventilated,0.0,1.08,1.2,20.8,20.8,50.1,0.02,-0.03,5.01
8501,Csa,Naturally Ventilated,0.0,0.9,1.2,22.5,22.5,36.4,0.05,0.03,5.02
8536,Csa,Naturally Ventilated,0.0,0.9,1.2,20.4,20.4,68.3,0.04,-0.29,6.75
8558,Csa,Naturally Ventilated,0.0,1.18,1.2,19.7,19.7,51.5,0.06,-0.12,5.28
8562,Csa,Naturally Ventilated,0.0,1.08,1.0,21.2,21.2,70.9,0.01,-0.25,6.3
8575,Csa,Naturally Ventilated,0.0,1.18,1.0,21.1,21.1,59.3,0.01,-0.2,5.8
8620,Csa,Naturally Ventilated,0.0,1.18,1.0,22.1,22.1,52.1,0.02,0.01,5.0
8622,Csa,Naturally Ventilated,1.0,1.08,1.0,22.1,22.1,52.1,0.02,-0.14,5.38
8627,Csa,Naturally Ventilated,0.0,1.11,1.2,20.9,20.9,63.6,0.01,0.11,5.25
8643,Csa,Naturally Ventilated,0.0,1.15,1.2,20.3,20.3,68.9,0.03,0.06,5.08
8650,Csa,Naturally Ventilated,0.0,0.9,1.2,20.1,20.1,65.1,0.06,-0.38,8.0
8659,Csa,Naturally Ventilated,0.0,0.68,1.2,29.3,29.3,29.8,0.05,1.42,46.59
8661,Csa,Naturally Ventilated,0.0,0.66,1.2,29.3,29.3,29.8,0.05,1.41,45.84
8664,Csa,Naturally Ventilated,0.0,0.8,1.2,26.8,26.8,33.5,0.08,0.9,22.01
8665,Csa,Naturally Ventilated,0.0,0.57,1.2,26.8,26.8,33.5,0.08,0.65,13.76
8669,Csa,Naturally Ventilated,0.0,0.61,1.2,28.6,28.6,34.7,0.07,1.21,35.69
8671,Csa,Naturally Ventilated,0.0,0.71,1.2,28.6,28.6,34.7,0.07,1.29,39.8
8672,Csa,Naturally Ventilated,0.0,0.91,1.2,28.6,28.6,34.7,0.07,1.43,46.93
8673,Csa,Naturally Ventilated,0.0,0.75,1.3,28.6,28.6,34.7,0.07,1.38,44.53
8674,Csa,Naturally Ventilated,0.0,0.46,1.2,28.3,28.3,28.4,0.11,0.83,19.52
8675,Csa,Naturally Ventilated,0.0,0.61,1.2,28.3,28.3,28.4,0.11,1.0,26.1
8676,Csa,Naturally Ventilated,0.0,0.46,1.2,28.3,28.3,28.4,0.11,0.83,19.52
8684,Csa,Naturally Ventilated,0.0,0.5,1.2,29.0,29.0,22.5,0.06,1.12,31.52
8686,Csa,Naturally Ventilated,0.0,0.37,1.2,28.8,28.8,26.8,0.04,0.96,24.58
8691,Csa,Naturally Ventilated,0.0,0.7,1.2,26.7,26.7,31.8,0.11,0.7,15.19
8692,Csa,Naturally Ventilated,0.0,0.78,1.2,26.7,26.7,31.8,0.11,0.79,18.01
8693,Csa,Naturally Ventilated,0.0,0.48,1.2,26.7,26.7,31.8,0.11,0.4,8.28
8695,Csa,Naturally Ventilated,0.0,0.7,1.2,26.7,26.7,31.8,0.11,0.7,15.19
